epoch,lr,time,loss
0,0.001,22:18:20,2.2794395962426828
1,0.001,22:18:20,1.7999798752540765
2,0.001,22:18:20,1.8000367768975192
3,0.001,22:18:20,1.7565131353777508
4,0.001,22:18:21,1.6614877373673196
5,0.001,22:18:21,1.4788973414620687
6,0.001,22:18:21,1.344923221787741
7,0.001,22:18:21,1.233224064804787
8,0.001,22:18:22,1.1623080081717914
9,0.001,22:18:22,1.1165583452513053
10,0.001,22:18:22,1.079203536344129
11,0.001,22:18:22,1.0574451282966968
12,0.001,22:18:23,1.0235413104988809
13,0.001,22:18:23,1.008652651032736
14,0.001,22:18:23,0.9946641020996626
15,0.001,22:18:23,0.9859232070834137
16,0.001,22:18:24,0.9900862033977065
17,0.001,22:18:24,0.9594739994337392
18,0.001,22:18:24,0.9493725383004477
19,0.001,22:18:24,0.9422470282676608
20,0.001,22:18:25,0.9383078702660494
21,0.001,22:18:25,0.9237614426501962
22,0.001,22:18:25,0.9295877654885136
23,0.001,22:18:25,0.921976848397144
24,0.001,22:18:26,0.9143254666827446
25,0.001,22:18:26,0.9159736189731332
26,0.001,22:18:26,0.8914487278738688
27,0.001,22:18:27,0.9133274957191112
28,0.001,22:18:27,0.899789223837298
29,0.001,22:18:27,0.8998836722484854
30,0.001,22:18:27,0.9067194350930148
31,0.001,22:18:28,0.8853612015413683
32,0.001,22:18:28,0.883595269086749
